Item Code,Item Name,Item Group,Stock UOM,Retail Price (USD)
BIOVELVET-1L,Bio Velvet Hair Conditioner 1L,Products,Nos,
BIOBOOST-3L,Bio Boost Laundry Washing Liquid for Black 3L,Products,Nos,
BIOFABRIC-700ML,Bio Fabric Ironing Softener Liquid 700ML,Products,Nos,
BIODESCALER-4L,Bio Descaler Industrial Strength 4L,Products,Nos,
BIOASEPTIC-4L,Bio Aseptic Dettol Antiseptic 4L,Products,Nos,
BIOCHLORE-4L,BioChlore Bleach Cleaner 4L,Products,Nos,
BIOSHINE-FLASH-4L,Bio Shine Flash Limescale Remover 4L,Products,Nos,
BIODISH-4L,Bio Dish Wash (Value Line) 4L,Products,Nos,
BIOFLOOR-4L,Bio Floor Cleaner (Value Line) 4L,Products,Nos,
BIOSOAP-4L,Bio Hand Soap (Value Line) 4L,Products,Nos,
CUP-PLASTIC-180CC,Plastic Cups 180cc,Disposables,Nos,
CUP-PAPER-9OZ,Paper Cups 9oz,Disposables,Nos,
CUTLERY-FORK,Plastic Cutlery - Fork,Disposables,Nos,
PLATE-PLASTIC-7IN,Plastic Plates 7in,Disposables,Nos,
GLOVES-NITRILE,Disposable Gloves,Disposables,Nos,
MASK-DISPOSABLE,Disposable Mask 3-ply,Disposables,Nos,
APRON-DISPOSABLE,Disposable Apron,Disposables,Nos,
STRAW-PLASTIC,Plastic Straws,Disposables,Nos,
TOILETROLL,Toilet Roll,Hygiene Paper,Nos,
MEGAROLL-350G,Mega Roll 350g White,Hygiene Paper,Nos,
NAPKIN-TABLE-2PLY,Table Napkin 2-ply,Hygiene Paper,Nos,
TISSUE-FACIAL,Facial Tissues,Hygiene Paper,Nos,
DISPENSER-TOWELROLL,Tower Roll Dispenser,Hygiene Paper,Nos,
DISPENSER-SOAP,Soap Dispenser,Hygiene Paper,Nos,
MOP-DUST,Dust Mop,Cleaning Tools,Nos,
BROOM-MUNICIPALITY,Municipality Broom,Cleaning Tools,Nos,
SQUEEGEE-WINDOW,Window Squeegee,Cleaning Tools,Nos,
BUCKET-PLASTIC,Plastic Bucket,Cleaning Tools,Nos,
SPONGE-SCRUBBER,Scour Scrubber Sponge,Cleaning Tools,Nos,
CLOTH-MICROFIBER,Microfiber Cloth,Cleaning Tools,Nos,
TRASHBAG-SMALL,Trash Bag - Small,Bags & Containers,Nos,
TRASHBAG-LARGE,Trash Bag - Large,Bags & Containers,Nos,
WASTEBIN-PEDAL-22L,Waste Container & Pedal 22L,Bags & Containers,Nos,
CONTAINER-FOOD-750CC,Food Container Rectangular 750cc,Bags & Containers,Nos,
