Item Code,Item Name,Item Group,Stock UOM,Retail Price (USD)
BIOMAX-3L,BioMax 3L,Products,Nos,6.00
BIOMAX-700ML,BioMax 700ML,Products,Nos,2.50
DISH-3L,Dish Wash 3L,Products,Nos,4.00
DISH-700ML,Dish Wash 700ML,Products,Nos,1.00
LAUNDRY-3L,Laundry Washing (Bio Bright) 3L,Products,Nos,4.50
BIOCHLORE-3L,BioChlore 3L,Products,Nos,2.50
BIOCHLORE-1L,BioChlore 1L,Products,Nos,1.00
FLOOR-3L,Multi-Purpose Floor Cleaner 3L,Products,Nos,3.00
FLOOR-1.25L,Multi-Purpose Floor Cleaner 1.25L,Products,Nos,1.00
SOAP-3L,Hand & Body Soap 3L,Products,Nos,4.00
SOAP-500ML,Hand & Body Soap 500ML,Products,Nos,1.00
SOFT-3L,Fabric Softener & Deodorant (BioSoft) 3L,Products,Nos,4.00
SHOWERGEL-700ML,Shower Gel 700ML,Products,Nos,1.50
BIOFRESH-500ML,BioFresh 500ML,Products,Nos,3.00
BIOWIPE-4L,BioWipe 4L,Products,Nos,3.00
BIOWIPE-700ML,BioWipe 700ML,Products,Nos,1.00
BIOSPOT-700ML,BioSpot 700ML,Products,Nos,5.50
BIOSAFE-3L,BioSafe 3L,Products,Nos,3.70
BIOSAFE-500ML,BioSafe 500ML,Products,Nos,1.15
BIOSHINE-3L,BioShine 3L,Products,Nos,3.00
BIOSHINE-1L,BioShine 1L,Products,Nos,1.50
BIOSTEP-200ML,BioStep 200ML,Products,Nos,1.50
